date,return
1981-03-11,-0.24823410696266401
1981-03-12,-0.17465388711395102
1981-03-13,-0.11839080459770102
1981-03-16,-0.10650224215246651
1981-03-17,-0.08932461873638353
1981-03-18,-0.08932238193018482
1981-03-19,-0.1390793339862879
1981-03-20,-0.1663533834586466
1981-03-23,-0.1767857142857142
1981-03-24,-0.2493867538838921
1981-03-25,-0.273972602739726
1981-03-26,-0.27024793388429746
1981-03-27,-0.2746598639455782
1981-03-30,-0.28259041211101765
1981-03-31,-0.2742906276870163
1981-04-01,-0.24752475247524763
1981-04-02,-0.1456766917293233
1981-04-03,-0.12464046021093
1981-04-06,-0.1847133757961783
1981-04-07,-0.18623853211009178
1981-04-08,-0.1141769743101807
1981-04-09,-0.10227272727272729
1981-04-10,-0.10770659238625813
1981-04-13,-0.10018726591760296
1981-04-14,-0.1518093556928508
1981-04-15,-0.1692447679708825
1981-04-16,-0.23035714285714293
1981-04-20,-0.2171226831421006
1981-04-21,-0.1603188662533216
1981-04-22,-0.11611161116111623
1981-04-23,-0.08612873980054392
1981-04-24,-0.0646067415730337
1981-04-27,-0.03692905733722074
1981-04-28,0.0
1981-04-29,0.046840958605664396
1981-04-30,0.027310924369747802
1981-05-01,-0.008113590263691628
1981-05-04,-0.012170385395537497
1981-05-05,-0.022199798183652808
1981-05-06,0.005324813631522929
1981-05-07,0.018104366347177825
1981-05-08,0.06160616061606161
1981-05-11,0.04772475027746936
1981-05-12,0.07394766780432294
1981-05-13,0.04217536071032191
1981-05-14,-0.013844515441959526
1981-05-15,0.07361268403170995
1981-05-18,0.15430622009569395
1981-05-19,0.11792452830188682
1981-05-20,0.19413919413919412
1981-05-21,0.18850574712643686
1981-05-22,0.22423556058890148
1981-05-26,0.1796276013143483
1981-05-27,0.2385620915032678
1981-05-28,0.25635359116022105
1981-05-29,0.2745535714285714
1981-06-01,0.28026905829596416
1981-06-02,0.22989807474518686
1981-06-03,0.33415233415233425
1981-06-04,0.4283870967741936
1981-06-05,0.46308724832214776
1981-06-08,0.3561290322580646
1981-06-09,0.39895697522816165
1981-06-10,0.36260978670012567
1981-06-11,0.35526315789473695
1981-06-12,0.2626832018038332
1981-06-15,0.2696245733788396
1981-06-16,0.23337091319052994
1981-06-17,0.16811279826464198
1981-06-18,0.16884531590413943
1981-06-19,0.15760266370699227
1981-06-22,0.13703284258210635
1981-06-23,0.1969519343493551
1981-06-24,0.16647127784290738
1981-06-25,0.20497630331753558
1981-06-26,0.20095693779904322
1981-06-29,0.06600660066006614
1981-06-30,-0.018619934282585016
1981-07-01,-0.010044642857142794
1981-07-02,0.0
1981-07-06,-0.07948442534908706
1981-07-07,-0.08649789029535859
1981-07-08,-0.06243496357960465
1981-07-09,-0.13527575442247675
1981-07-10,-0.2018730489073881
1981-07-13,-0.1412924424972618
1981-07-14,-0.04988399071925753
1981-07-15,-0.0529875986471251
1981-07-16,-0.09071729957805907
1981-07-17,-0.09164969450101823
1981-07-20,-0.17559523809523814
1981-07-21,-0.1721721721721723
1981-07-22,-0.2129162462159434
1981-07-23,-0.177618069815195
1981-07-24,-0.13943808532778368
1981-07-27,-0.11860940695296518
1981-07-28,-0.1503067484662577
1981-07-29,-0.15913757700205333
1981-07-30,-0.12487100103199178
1981-07-31,-0.08686440677966101
1981-08-03,-0.10774058577405865
1981-08-04,-0.10259067357512963
1981-08-05,-0.05508474576271183
1981-08-06,-0.07838983050847459
1981-08-07,-0.07348242811501604
1981-08-11,-0.08855291576673863
1981-08-12,-0.12763713080168781
1981-08-13,-0.1699481865284974
1981-08-14,-0.16877637130801693
1981-08-17,-0.21983640081799583
1981-08-18,-0.2794970986460349
1981-08-19,-0.31822386679000925
1981-08-20,-0.30826369545032506
1981-08-21,-0.3896218117854001
1981-08-24,-0.42832014072119606
1981-08-25,-0.41506129597197894
1981-08-26,-0.4264448336252189
1981-08-27,-0.3931860036832413
1981-08-28,-0.3609576427255985
1981-08-31,-0.37308039747064137
1981-09-01,-0.3238532110091743
1981-09-02,-0.2863939105613701
1981-09-03,-0.33737185461323405
1981-09-04,-0.35359116022099446
1981-09-08,-0.39894086496028247
1981-09-09,-0.39196428571428577
1981-09-10,-0.3862007168458781
1981-09-11,-0.3811700182815356
1981-09-14,-0.3918291550603529
1981-09-15,-0.4054054054054055
1981-09-16,-0.401725790987536
1981-09-17,-0.3954183266932272
1981-09-18,-0.40058765915768857
1981-09-21,-0.3809045226130653
1981-09-22,-0.42772861356932146
1981-09-23,-0.4332669322709164
1981-09-24,-0.4179566563467493
1981-09-25,-0.4520089285714286
1981-09-28,-0.4408117249154454
1981-09-29,-0.4126268320180383
1981-09-30,-0.3862310385064177
1981-10-01,-0.39260969976905313
1981-10-02,-0.3684794672586016
1981-10-05,-0.2948255114320095
1981-10-06,-0.24119947848761414
1981-10-07,-0.2142857142857142
1981-10-08,-0.2210012210012211
1981-10-09,-0.23571428571428588
1981-10-12,-0.23085846867749427
1981-10-13,-0.25672645739910316
1981-10-14,-0.2490974729241877
1981-10-15,-0.22853688029020558
1981-10-16,-0.19358974358974357
1981-10-19,-0.19850187265917618
1981-10-20,-0.18137847642079807
1981-10-21,-0.2146171693735499
1981-10-22,-0.1913357400722021
1981-10-23,-0.2002442002442002
1981-10-26,-0.22759433962264153
1981-10-27,-0.2250580046403713
1981-10-28,-0.1922626025791324
1981-10-29,-0.21362586605080836
1981-10-30,-0.2275784753363228
1981-11-02,-0.2080459770114942
1981-11-03,-0.21724137931034482
1981-11-04,-0.21445497630331756
1981-11-05,-0.2551390568319225
