date,30_day_return
1981-01-27,0.11301715438950555
1981-01-28,0.13738019169329085
1981-01-29,0.1827586206896552
1981-01-30,0.09192825112107617
1981-02-02,0.0
1981-02-03,-0.022587268993839782
1981-02-04,-0.03428011753183158
1981-02-05,-0.07330827067669177
1981-02-06,-0.11517857142857146
1981-02-09,-0.23221586263287008
1981-02-10,-0.2433521353746979
1981-02-11,-0.24876033057851243
1981-02-12,-0.233843537414966
1981-02-13,-0.26072329688814133
1981-02-17,-0.22527944969905422
1981-02-18,-0.15481548154815483
1981-02-19,-0.1701127819548871
1981-02-20,-0.19846596356663482
1981-02-23,-0.2283894449499545
1981-02-24,-0.24862385321100922
1981-02-25,-0.1722169362511894
1981-02-26,-0.16382575757575757
1981-02-27,-0.1522748375116063
1981-03-02,-0.1404494382022472
1981-03-03,-0.2012356575463372
1981-03-04,-0.1847133757961783
1981-03-05,-0.20357142857142863
1981-03-06,-0.22065313327449243
1981-03-09,-0.27900797165633306
1981-03-10,-0.30243024302430244
1981-03-11,-0.32456935630099726
1981-03-12,-0.2743445692883896
1981-03-13,-0.2546161321671526
1981-03-16,-0.18172484599589334
1981-03-17,-0.08932461873638353
1981-03-18,-0.06827731092436984
1981-03-19,-0.10851926977687609
1981-03-20,-0.10040567951318446
1981-03-23,-0.06962663975782024
1981-03-24,-0.022364217252396124
1981-03-25,-0.04046858359957395
1981-03-26,-0.028602860286028542
1981-03-27,-0.05327413984461704
1981-03-30,-0.029579067121729308
1981-03-31,-0.06326304106548275
1981-04-01,-0.10969116080937169
1981-04-02,0.029445073612683892
1981-04-03,0.09210526315789491
1981-04-06,0.05660377358490565
1981-04-07,0.08302808302808296
1981-04-08,0.07011494252873574
1981-04-09,0.07361268403170995
1981-04-10,0.05257393209200445
1981-04-13,0.046840958605664396
1981-04-14,0.06187845303867423
1981-04-15,0.018973214285714413
1981-04-16,-0.03363228699551568
1981-04-20,0.0045300113250283935
1981-04-21,0.1646191646191646
1981-04-22,0.2670967741935484
1981-04-23,0.353020134228188
1981-04-24,0.28903225806451616
1981-04-27,0.29204693611473265
1981-04-28,0.2220828105395234
1981-04-29,0.14952153110047872
1981-04-30,0.1025930101465613
1981-05-01,0.11262798634812277
1981-05-04,0.09808342728297625
1981-05-05,0.05097613882863339
1981-05-06,0.028322440087145795
1981-05-07,0.06104328523862379
1981-05-08,0.09286523216308029
1981-05-11,0.10668229777256744
1981-05-12,0.10668229777256744
1981-05-13,0.11255924170616116
1981-05-14,0.10765550239234467
1981-05-15,0.04290429042904287
1981-05-18,0.056955093099671394
1981-05-19,0.05803571428571419
1981-05-20,0.1025930101465613
1981-05-21,0.11063372717508058
1981-05-22,0.14029535864978904
1981-05-26,0.12070759625390215
1981-05-27,0.18314255983350658
1981-05-28,0.18314255983350658
1981-05-29,0.25082146768893754
1981-06-01,0.32482598607888624
1981-06-02,0.22435174746335962
1981-06-03,0.14556962025316467
1981-06-04,0.12729124236252565
1981-06-05,0.08134920634920628
1981-06-08,0.05205205205205199
1981-06-09,0.08274470232088804
1981-06-10,0.11498973305954818
1981-06-11,0.17898022892819965
1981-06-12,0.14519427402862983
1981-06-15,0.14110429447852768
1981-06-16,0.12320328542094461
1981-06-17,0.11145510835913308
1981-06-18,0.1366525423728815
1981-06-19,0.09100418410041833
1981-06-22,0.040414507772020825
1981-06-23,0.08156779661016955
1981-06-24,0.05402542372881358
1981-06-25,0.08306709265175716
1981-06-26,0.08423326133909281
1981-06-29,0.022151898734177333
1981-06-30,-0.07150259067357512
1981-07-01,-0.06434599156118137
1981-07-02,-0.09304703476482612
1981-07-06,-0.1711798839458415
1981-07-07,-0.19888991674375578
1981-07-08,-0.1634168987929434
1981-07-09,-0.2691292875989446
1981-07-10,-0.32541776605101136
1981-07-13,-0.3134851138353766
1981-07-14,-0.28283712784588433
1981-07-15,-0.22651933701657456
1981-07-16,-0.20626151012891347
1981-07-17,-0.19421860885275521
1981-07-20,-0.2376146788990826
1981-07-21,-0.21313035204567077
1981-07-22,-0.27306616961789376
1981-07-23,-0.2624309392265193
1981-07-24,-0.27007943512797883
1981-07-27,-0.23035714285714293
1981-07-28,-0.2553763440860216
1981-07-29,-0.2513711151736746
1981-07-30,-0.21262766945218203
1981-07-31,-0.1966449207828519
1981-08-03,-0.18216682646212845
1981-08-04,-0.13745019920318735
1981-08-05,-0.12634671890303617
1981-08-06,-0.1256281407035177
1981-08-07,-0.14454277286135697
1981-08-11,-0.15936254980079678
1981-08-12,-0.1465428276573788
1981-08-13,-0.1060267857142857
1981-08-14,-0.11161217587373173
1981-08-17,-0.13979706877113862
1981-08-18,-0.13068844807467916
1981-08-19,-0.14896073903002305
1981-08-20,-0.17314095449500555
1981-08-21,-0.16486161251504206
1981-08-24,-0.15254237288135597
1981-08-25,-0.14795918367346939
1981-08-26,-0.2002442002442002
1981-08-27,-0.2154761904761905
1981-08-28,-0.19489559164733172
1981-08-31,-0.22197309417040356
1981-09-01,-0.11311672683513829
1981-09-02,-0.09310761789600963
1981-09-03,-0.08846153846153848
1981-09-04,-0.12359550561797761
1981-09-08,-0.17654171704957677
1981-09-09,-0.20997679814385162
1981-09-10,-0.17569193742478928
1981-09-11,-0.17338217338217343
1981-09-14,-0.22759433962264153
1981-09-15,-0.25986078886310904
1981-09-16,-0.26846424384525214
1981-09-17,-0.2990762124711317
1981-09-18,-0.31390134529147984
1981-09-21,-0.2919540229885057
1981-09-22,-0.3310344827586206
1981-09-23,-0.32582938388625593
1981-09-24,-0.3180169286577993
1981-09-25,-0.387016229712859
