date,gd,gdp
1947-01-01,2182.681,
1947-04-01,2176.892,-0.2652242815143535
1947-07-01,2172.432,-0.20487924986632988
1947-10-01,2206.452,1.5659868755385942
1948-01-01,2239.682,1.5060377474787279
1948-04-01,2276.69,1.6523774357252607
1948-07-01,2289.77,0.5745182699445239
1948-10-01,2292.364,0.1132864872891215
1949-01-01,2260.807,-1.3766138361970492
1949-04-01,2253.128,-0.33965747629053356
1949-07-01,2276.424,1.0339403708977013
1949-10-01,2257.352,-0.8378052594771535
1950-01-01,2346.104,3.9316863298236138
1950-04-01,2417.682,3.050930393537543
1950-07-01,2511.127,3.865065794426248
1950-10-01,2559.214,1.9149569097859143
1951-01-01,2593.967,1.3579559974273403
1951-04-01,2638.898,1.7321346031001994
1951-07-01,2693.259,2.0599886770917175
1951-10-01,2699.156,0.21895406271732476
1952-01-01,2727.954,1.0669261057901114
1952-04-01,2733.8,0.21429980124298975
1952-07-01,2753.517,0.7212305216182546
1952-10-01,2843.941,3.283945586680592
1953-01-01,2896.811,1.8590399730515017
1953-04-01,2919.206,0.7730915133917993
1953-07-01,2902.785,-0.5625159718087858
1953-10-01,2858.845,-1.5137187218481563
1954-01-01,2845.192,-0.4775704873821396
1954-04-01,2848.305,0.1094126512375837
1954-07-01,2880.482,1.1296894117729606
1954-10-01,2936.852,1.9569641469726173
1955-01-01,3020.746,2.8565961103930393
1955-04-01,3069.91,1.627544983921192
1955-07-01,3111.379,1.3508213595838425
1955-10-01,3130.068,0.600666135498118
1956-01-01,3117.922,-0.38804268789048857
1956-04-01,3143.694,0.8265761619437484
1956-07-01,3140.874,-0.08970338716173254
1956-10-01,3192.57,1.645911297301339
1957-01-01,3213.011,0.6402678719652055
1957-04-01,3205.97,-0.21914023948252925
1957-07-01,3237.386,0.9799218333296889
1957-10-01,3203.894,-1.0345383590341206
1958-01-01,3120.724,-2.595903609794814
1958-04-01,3141.224,0.6568988478314663
1958-07-01,3213.884,2.3131110675329136
1958-10-01,3289.032,2.3382300045676763
1959-01-01,3352.129,1.9184063882625502
1959-04-01,3427.667,2.2534335641617664
1959-07-01,3430.057,0.06972672666276658
1959-10-01,3439.832,0.28498068690987477
1960-01-01,3517.181,2.2486272585405365
1960-04-01,3498.246,-0.5383572810156778
1960-07-01,3515.385,0.4899312398270572
1960-10-01,3470.278,-1.283131150642114
1961-01-01,3493.703,0.6750179668602918
1961-04-01,3553.021,1.6978546831256214
1961-07-01,3621.252,1.9203657957552078
1961-10-01,3692.289,1.961669610399941
1962-01-01,3758.147,1.7836631964615934
1962-04-01,3792.149,0.9047543909272315
1962-07-01,3838.776,1.2295666652338832
1962-10-01,3851.421,0.32940187184664627
1963-01-01,3893.482,1.0920904258454156
1963-04-01,3937.183,1.122414332466426
1963-07-01,4023.755,2.1988309915998316
1963-10-01,4050.147,0.6559047456915268
1964-01-01,4135.553,2.108713584963695
1964-04-01,4180.592,1.0890683785215627
1964-07-01,4245.918,1.5626016602433346
1964-10-01,4259.046,0.30919108659188677
1965-01-01,4362.111,2.4199081202691763
1965-04-01,4417.225,1.263470828688229
1965-07-01,4515.427,2.2231604683935924
1965-10-01,4619.458,2.303901712949852
1966-01-01,4731.888,2.433835311415322
1966-04-01,4748.046,0.3414704659112866
1966-07-01,4788.254,0.8468325707038149
1966-10-01,4827.537,0.8204034288907813
1967-01-01,4870.299,0.8857933144789998
1967-04-01,4873.287,0.06135146938617275
1967-07-01,4919.392,0.9460760263042101
1967-10-01,4956.477,0.7538533217112953
1968-01-01,5057.553,2.0392710386833324
1968-04-01,5142.033,1.6703730044944853
1968-07-01,5181.859,0.7745185610438465
1968-10-01,5202.212,0.39277409902507276
1969-01-01,5283.597,1.5644306691076748
1969-04-01,5299.625,0.3033539461847701
1969-07-01,5334.6,0.6599523551194642
1969-10-01,5308.556,-0.48820905035055207
1970-01-01,5300.652,-0.1488917136788115
1970-04-01,5308.164,0.14171841501762206
1970-07-01,5357.077,0.9214673849564647
1970-10-01,5299.672,-1.0715731732062195
1971-01-01,5443.619,2.716149225838893
1971-04-01,5473.059,0.5408166883097643
1971-07-01,5518.072,0.8224468254407702
1971-10-01,5531.032,0.234864641128274
1972-01-01,5632.649,1.8372159119672382
1972-04-01,5760.47,2.2692875057543915
1972-07-01,5814.854,0.9440896315751957
1972-10-01,5912.22,1.6744358499800605
1973-01-01,6058.544,2.4749417308557398
1973-04-01,6124.506,1.0887434340660196
1973-07-01,6092.301,-0.5258383288382795
1973-10-01,6150.131,0.9492308406954919
1974-01-01,6097.258,-0.8597052648146919
1974-04-01,6111.751,0.23769701068907523
1974-07-01,6053.978,-0.9452773845007756
1974-10-01,6030.464,-0.38840577220465855
1975-01-01,5957.035,-1.2176343312886084
1975-04-01,5999.61,0.7147011894339972
1975-07-01,6102.326,1.712044616233399
1975-10-01,6184.53,1.3470928953975836
1976-01-01,6323.649,2.249467623247048
1976-04-01,6370.025,0.7333740376798126
1976-07-01,6404.895,0.5474075847426096
1976-10-01,6451.177,0.7226035711748402
1977-01-01,6527.703,1.1862331478426524
1977-04-01,6654.466,1.9419235219494402
1977-07-01,6774.457,1.8031649722156429
1977-10-01,6774.592,0.001992779642701059
1978-01-01,6796.26,0.319842139570925
1978-04-01,7058.92,3.864772683799611
1978-07-01,7129.915,1.0057487547670219
1978-10-01,7225.75,1.3441254208500286
1979-01-01,7238.727,0.17959381379095696
1979-04-01,7246.454,0.10674528822540719
1979-07-01,7300.281,0.7428046876444716
1979-10-01,7318.535,0.2500451694941619
1980-01-01,7341.557,0.31457115392630186
1980-04-01,7190.289,-2.0604348641575676
1980-07-01,7181.743,-0.11885474978821087
1980-10-01,7315.677,1.8649233201466497
1981-01-01,7459.022,1.9594222106853687
1981-04-01,7403.745,-0.7410757067079277
1981-07-01,7492.405,1.197502074963408
1981-10-01,7410.768,-1.0895967316235544
1982-01-01,7295.631,-1.5536446424985861
1982-04-01,7328.912,0.45617712847594305
1982-07-01,7300.896,-0.3822668357868153
1982-10-01,7303.817,0.04000878796246443
1983-01-01,7400.066,1.3177904101375981
1983-04-01,7568.456,2.2755202453599743
1983-07-01,7719.746,1.9989546084432597
1983-10-01,7880.794,2.0861826282885465
1984-01-01,8034.847,1.9547903421914148
1984-04-01,8173.67,1.72776158649941
1984-07-01,8252.465,0.9640100468944812
1984-10-01,8320.199,0.8207729448110435
1985-01-01,8400.82,0.9689792275400899
1985-04-01,8474.787,0.8804735728179081
1985-07-01,8604.22,1.5272714228687922
1985-10-01,8668.188,0.7434491447220193
1986-01-01,8749.127,0.9337476298391323
1986-04-01,8788.524,0.4502963552820649
1986-07-01,8872.601,0.9566680366350555
1986-10-01,8920.193,0.5363928796076722
1987-01-01,8986.367,0.7418449354178902
1987-04-01,9083.256,1.0781776439800383
1987-07-01,9162.024,0.8671780251486849
1987-10-01,9319.332,1.7169568645530875
1988-01-01,9367.502,0.5168825405082789
1988-04-01,9490.594,1.3140322788294911
1988-07-01,9546.206,0.5859696453140995
1988-10-01,9673.405,1.332456056364184
1989-01-01,9771.725,1.016394950898869
1989-04-01,9846.293,0.7630996574299775
1989-07-01,9919.228,0.7407356250722863
1989-10-01,9938.767,0.19698105538052957
1990-01-01,10047.386,1.0928820446238552
1990-04-01,10083.855,0.36297003021481533
1990-07-01,10090.569,0.06658167932800385
1990-10-01,9998.704,-0.9104045569679919
1991-01-01,9951.916,-0.4679406451076118
1991-04-01,10029.51,0.7796890568610104
1991-07-01,10080.195,0.5053586865160886
1991-10-01,10115.329,0.34854484461859236
1992-01-01,10236.435,1.1972522099874316
1992-04-01,10347.429,1.0843032755055937
1992-07-01,10449.673,0.9881101865980568
1992-10-01,10558.648,1.0428555994048683
1993-01-01,10576.275,0.16694372234020705
1993-04-01,10637.847,0.5821709439287392
1993-07-01,10688.606,0.477154822775705
1993-10-01,10833.987,1.360149302911906
1994-01-01,10939.116,0.9703629882517051
1994-04-01,11087.361,1.355182630845131
1994-07-01,11152.176,0.5845845553328566
1994-10-01,11279.932,1.1455701559946796
1995-01-01,11319.951,0.3547805075420518
1995-04-01,11353.721,0.298322846097121
1995-07-01,11450.31,0.8507255022384363
1995-10-01,11528.067,0.6790820510536255
1996-01-01,11614.418,0.7490501226268043
1996-04-01,11808.14,1.6679441018912833
1996-07-01,11914.063,0.8970337411311258
1996-10-01,12037.775,1.0383695301930063
1997-01-01,12115.472,0.6454431985977394
1997-04-01,12317.221,1.665217830555843
1997-07-01,12471.01,1.2485689750959317
1997-10-01,12577.495,0.8538602727445443
1998-01-01,12703.742,1.0037531320823412
1998-04-01,12821.339,0.9256878799962953
1998-07-01,12982.752,1.258940271371034
1998-10-01,13191.67,1.609196570958149
1999-01-01,13315.597,0.9394337487217186
1999-04-01,13426.748,0.8347428958686454
1999-07-01,13604.771,1.3258832295057754
1999-10-01,13827.98,1.6406670865683814
2000-01-01,13878.147,0.36279340872638066
2000-04-01,14130.908,1.8212878131352639
2000-07-01,14145.312,0.10193258635609048
2000-10-01,14229.765,0.5970387927816567
2001-01-01,14183.12,-0.3277988076401672
2001-04-01,14271.694,0.624502930243831
2001-07-01,14214.516,-0.40063919531907466
2001-10-01,14253.574,0.2747754478590769
2002-01-01,14372.785,0.8363586564324121
2002-04-01,14460.848,0.6127065840058066
2002-07-01,14519.633,0.4065114300350947
2002-10-01,14537.58,0.12360505255195608
2003-01-01,14614.141,0.5266419858050542
2003-04-01,14743.567,0.885621672871495
2003-07-01,14988.782,1.663199956971062
2003-10-01,15162.76,1.160721398176312
2004-01-01,15248.68,0.5666514539569345
2004-04-01,15366.85,0.7749523237421174
2004-07-01,15512.619,0.9485938887930923
2004-10-01,15670.88,1.0202081286209586
2005-01-01,15844.727,1.1093633541958248
2005-04-01,15922.782,0.4926244548107306
2005-07-01,16047.587,0.7838140345072908
2005-10-01,16136.734,0.5555165396517348
2006-01-01,16353.835,1.3453837684874737
2006-04-01,16396.151,0.25875276349554
2006-07-01,16420.738,0.1499559256315619
2006-10-01,16561.866,0.8594498006118778
2007-01-01,16611.69,0.30083566670564554
2007-04-01,16713.314,0.6117619579946387
2007-07-01,16809.587,0.5760257959612325
2007-10-01,16915.191,0.6282367318126258
2008-01-01,16843.003,-0.42676432089947536
2008-04-01,16943.291,0.5954282618129358
2008-07-01,16854.295,-0.5252580505168858
2008-10-01,16485.35,-2.189026595298116
2009-01-01,16298.262,-1.1348742974823023
2009-04-01,16269.145,-0.1786509506351064
2009-07-01,16326.281,0.3511923951750484
2009-10-01,16502.754,1.0809136508185713
2010-01-01,16582.71,0.48450095056860043
2010-04-01,16743.162,0.9675861183124024
2010-07-01,16872.266,0.7710849360473171
2010-10-01,16960.864,0.5251102608268665
2011-01-01,16920.632,-0.23720489710901127
2011-04-01,17035.114,0.6765822931436682
2011-07-01,17031.313,-0.022312735917140447
2011-10-01,17222.583,1.1230490567579965
2012-01-01,17367.01,0.838590819971663
2012-04-01,17444.525,0.4463347461653111
2012-07-01,17469.65,0.14402799732293747
2012-10-01,17489.852,0.11564055376036553
2013-01-01,17662.4,0.9865606638638447
2013-04-01,17709.671,0.26763633481292626
2013-07-01,17860.45,0.851393569084391
2013-10-01,18016.147,0.8717417534272576
2014-01-01,17953.974,-0.34509598528477126
2014-04-01,18185.911,1.2918421292132942
2014-07-01,18406.941,1.2153914093167906
2014-10-01,18500.031,0.5057331362120498
2015-01-01,18666.621,0.9004849775657187
2015-04-01,18782.243,0.6194050867588619
2015-07-01,18857.418,0.4002450612528241
2015-10-01,18892.206,0.18447912646364362
2016-01-01,19001.69,0.5795194060450148
